request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
burstgpt-000029,128700,938,263,model-chatgpt,interactive,950,145,,,
burstgpt-000030,128950,1544,608,model-chatgpt,interactive,950,145,,,
burstgpt-000031,130150,1840,378,model-gpt-4,interactive,950,145,,,
burstgpt-000032,133950,991,462,model-chatgpt,interactive,950,145,,,
burstgpt-000033,141050,1109,329,model-chatgpt,interactive,950,145,,,
burstgpt-000034,150200,1476,443,model-chatgpt,interactive,950,145,,,
burstgpt-000035,154300,14,11,model-chatgpt,interactive,950,145,,,
burstgpt-000036,161350,1741,428,model-gpt-4,interactive,950,145,,,
burstgpt-000037,228450,1306,267,model-chatgpt,interactive,950,145,,,
burstgpt-000038,239650,614,323,model-gpt-4,interactive,950,145,,,
burstgpt-000039,290350,1960,136,model-chatgpt,interactive,950,145,,,
burstgpt-000040,302200,1698,627,model-chatgpt,interactive,950,145,,,
burstgpt-000041,312900,1907,616,model-chatgpt,interactive,950,145,,,
burstgpt-000042,324700,137,225,model-chatgpt,interactive,950,145,,,
burstgpt-000043,343850,20,86,model-gpt-4,interactive,950,145,,,
burstgpt-000044,349650,127,268,model-gpt-4,interactive,950,145,,,
burstgpt-000045,371850,665,167,model-gpt-4,interactive,950,145,,,
burstgpt-000046,398850,855,297,model-gpt-4,interactive,950,145,,,
burstgpt-000047,402350,1191,30,model-gpt-4,interactive,950,145,,,
burstgpt-000048,406050,18,67,model-gpt-4,interactive,950,145,,,
burstgpt-000049,410150,101,148,model-gpt-4,interactive,950,145,,,
burstgpt-000050,410300,112,336,model-chatgpt,interactive,950,145,,,
burstgpt-000051,412650,264,76,model-gpt-4,interactive,950,145,,,
burstgpt-000052,433800,82,343,model-chatgpt,interactive,950,145,,,
burstgpt-000053,438850,506,343,model-chatgpt,interactive,950,145,,,
burstgpt-000054,449200,530,339,model-chatgpt,interactive,950,145,,,
burstgpt-000055,450500,942,396,model-chatgpt,interactive,950,145,,,
burstgpt-000056,470650,1364,416,model-chatgpt,interactive,950,145,,,
burstgpt-000057,510000,122,496,model-chatgpt,interactive,950,145,,,
burstgpt-000058,520450,24,63,model-chatgpt,interactive,950,145,,,
burstgpt-000059,521900,698,258,model-chatgpt,interactive,950,145,,,
burstgpt-000060,528600,103,76,model-chatgpt,interactive,950,145,,,
burstgpt-000061,529750,1073,129,model-chatgpt,interactive,950,145,,,
burstgpt-000062,529900,200,95,model-chatgpt,interactive,950,145,,,
burstgpt-000063,531550,1282,188,model-chatgpt,interactive,950,145,,,
burstgpt-000064,533200,1762,418,model-chatgpt,interactive,950,145,,,
burstgpt-000065,536750,1625,268,model-chatgpt,interactive,950,145,,,
burstgpt-000066,537750,25,326,model-chatgpt,interactive,950,145,,,
burstgpt-000067,537750,1639,188,model-chatgpt,interactive,950,145,,,
burstgpt-000068,540350,42,197,model-chatgpt,interactive,950,145,,,
burstgpt-000069,541000,1637,231,model-chatgpt,interactive,950,145,,,
burstgpt-000070,547200,1701,381,model-chatgpt,interactive,950,145,,,
burstgpt-000071,549500,383,319,model-chatgpt,interactive,950,145,,,
burstgpt-000072,554550,266,246,model-chatgpt,interactive,950,145,,,
burstgpt-000073,570300,1450,497,model-chatgpt,interactive,950,145,,,
burstgpt-000074,575600,1631,422,model-chatgpt,interactive,950,145,,,
burstgpt-000075,576700,540,285,model-chatgpt,interactive,950,145,,,
burstgpt-000076,581850,1797,577,model-chatgpt,interactive,950,145,,,
burstgpt-000077,590600,20,310,model-chatgpt,interactive,950,145,,,
burstgpt-000078,592400,352,298,model-chatgpt,interactive,950,145,,,
burstgpt-000079,627750,726,334,model-chatgpt,interactive,950,145,,,
burstgpt-000080,730650,870,269,model-chatgpt,interactive,950,145,,,
burstgpt-000081,950750,66,342,model-chatgpt,interactive,950,145,,,
burstgpt-000082,955150,478,296,model-chatgpt,interactive,950,145,,,
burstgpt-000083,974700,837,292,model-chatgpt,interactive,950,145,,,
burstgpt-000084,979800,1152,237,model-chatgpt,interactive,950,145,,,
burstgpt-000085,1014150,42,17,model-chatgpt,interactive,950,145,,,
burstgpt-000086,1346700,29,69,model-chatgpt,interactive,950,145,,,
burstgpt-000087,1351600,136,74,model-chatgpt,interactive,950,145,,,
burstgpt-000088,1357850,229,69,model-chatgpt,interactive,950,145,,,
burstgpt-000089,1365100,326,66,model-chatgpt,interactive,950,145,,,
burstgpt-000090,1394450,408,322,model-chatgpt,interactive,950,145,,,
burstgpt-000091,1397150,667,79,model-chatgpt,interactive,950,145,,,
burstgpt-000092,1419200,657,192,model-chatgpt,interactive,950,145,,,
burstgpt-000093,1421550,788,292,model-chatgpt,interactive,950,145,,,
burstgpt-000094,1428300,1035,227,model-chatgpt,interactive,950,145,,,
burstgpt-000095,1438000,930,83,model-gpt-4,standard,2600,280,,,
burstgpt-000096,1441200,929,80,model-gpt-4,standard,2600,280,,,
burstgpt-000097,1472250,36,14,model-chatgpt,interactive,950,145,,,
burstgpt-000098,1477200,103,23,model-chatgpt,interactive,950,145,,,
burstgpt-000099,1478150,209,242,model-chatgpt,interactive,950,145,,,
burstgpt-000100,1482150,505,166,model-chatgpt,interactive,950,145,,,
burstgpt-000101,1490850,166,34,model-chatgpt,interactive,950,145,,,
burstgpt-000102,1491350,19,326,model-chatgpt,interactive,950,145,,,
burstgpt-000103,1492150,239,30,model-chatgpt,interactive,950,145,,,
burstgpt-000104,1493250,357,559,model-chatgpt,interactive,950,145,,,
burstgpt-000105,1495100,320,28,model-chatgpt,interactive,950,145,,,
burstgpt-000106,1499100,333,35,model-chatgpt,interactive,950,145,,,
burstgpt-000107,1499350,342,11,model-chatgpt,interactive,950,145,,,
burstgpt-000108,1500950,353,62,model-chatgpt,interactive,950,145,,,
burstgpt-000109,1504550,26,205,model-chatgpt,interactive,950,145,,,
burstgpt-000110,1515950,950,67,model-chatgpt,interactive,950,145,,,
burstgpt-000111,1516850,249,229,model-chatgpt,interactive,950,145,,,
burstgpt-000112,1517150,926,73,model-chatgpt,interactive,950,145,,,
burstgpt-000113,1518150,495,270,model-chatgpt,interactive,950,145,,,
burstgpt-000114,1518300,807,73,model-chatgpt,interactive,950,145,,,
burstgpt-000115,1519400,587,96,model-chatgpt,interactive,950,145,,,
burstgpt-000116,1520850,1539,82,model-chatgpt,interactive,950,145,,,
burstgpt-000117,1520950,428,194,model-chatgpt,interactive,950,145,,,
burstgpt-000118,1523550,434,1018,model-chatgpt,interactive,950,145,,,
burstgpt-000119,1526150,561,79,model-chatgpt,interactive,950,145,,,
burstgpt-000120,1529800,565,90,model-chatgpt,interactive,950,145,,,
burstgpt-000121,1530350,31,144,model-chatgpt,interactive,950,145,,,
burstgpt-000122,1532200,21,16,model-chatgpt,interactive,950,145,,,
burstgpt-000123,1532450,578,300,model-chatgpt,interactive,950,145,,,
burstgpt-000124,1533600,68,232,model-chatgpt,interactive,950,145,,,
burstgpt-000125,1539500,14,423,model-chatgpt,interactive,950,145,,,
burstgpt-000126,1542350,839,465,model-chatgpt,interactive,950,145,,,
burstgpt-000127,1543650,447,381,model-chatgpt,interactive,950,145,,,
burstgpt-000128,1544700,838,436,model-chatgpt,interactive,950,145,,,
burstgpt-000129,1557900,1107,288,model-chatgpt,interactive,950,145,,,
burstgpt-000130,1561950,1306,245,model-chatgpt,interactive,950,145,,,
burstgpt-000131,1564400,1458,366,model-chatgpt,interactive,950,145,,,
burstgpt-000132,1569250,1524,427,model-chatgpt,interactive,950,145,,,
burstgpt-000133,1572650,1435,462,model-chatgpt,interactive,950,145,,,
burstgpt-000134,1589250,1618,161,model-chatgpt,interactive,950,145,,,
burstgpt-000135,1590250,1536,208,model-chatgpt,interactive,950,145,,,
burstgpt-000136,1591050,1385,150,model-chatgpt,interactive,950,145,,,
burstgpt-000137,1591800,1113,197,model-chatgpt,interactive,950,145,,,
burstgpt-000138,1595050,109,1413,model-chatgpt,interactive,950,145,,,
burstgpt-000139,1599000,45,972,model-chatgpt,interactive,950,145,,,
burstgpt-000140,1599450,36,307,model-chatgpt,interactive,950,145,,,
burstgpt-000141,1599950,380,210,model-gpt-4,interactive,950,145,,,
burstgpt-000142,1601450,28,62,model-chatgpt,interactive,950,145,,,
burstgpt-000143,1605700,42,954,model-chatgpt,interactive,950,145,,,
burstgpt-000144,1609000,246,130,model-chatgpt,interactive,950,145,,,
burstgpt-000145,1612100,395,787,model-chatgpt,interactive,950,145,,,
burstgpt-000146,1615300,1254,312,model-chatgpt,interactive,950,145,,,
burstgpt-000147,1619100,840,246,model-chatgpt,interactive,950,145,,,
burstgpt-000148,1624150,1169,845,model-chatgpt,interactive,950,145,,,
burstgpt-000149,1627800,1304,343,model-chatgpt,interactive,950,145,,,
burstgpt-000150,1628850,19,56,model-chatgpt,interactive,950,145,,,
burstgpt-000151,1629700,92,252,model-chatgpt,interactive,950,145,,,
burstgpt-000152,1629800,69,381,model-chatgpt,interactive,950,145,,,
burstgpt-000153,1631000,10,318,model-chatgpt,interactive,950,145,,,
burstgpt-000154,1632550,531,40,model-chatgpt,interactive,950,145,,,
burstgpt-000155,1632900,23,426,model-chatgpt,interactive,950,145,,,
burstgpt-000156,1633450,49,11,model-chatgpt,interactive,950,145,,,
burstgpt-000157,1633650,40,541,model-chatgpt,interactive,950,145,,,
burstgpt-000158,1633750,99,470,model-gpt-4,interactive,950,145,,,
burstgpt-000159,1634650,134,55,model-chatgpt,interactive,950,145,,,
burstgpt-000160,1640750,42,1362,model-chatgpt,interactive,950,145,,,
burstgpt-000161,1645500,1877,455,model-chatgpt,interactive,950,145,,,
burstgpt-000162,1647050,12,391,model-chatgpt,interactive,950,145,,,
burstgpt-000163,1650600,302,119,model-chatgpt,interactive,950,145,,,
burstgpt-000164,1651500,447,639,model-chatgpt,interactive,950,145,,,
burstgpt-000165,1651850,10,3,model-chatgpt,interactive,950,145,,,
burstgpt-000166,1653150,26,67,model-chatgpt,interactive,950,145,,,
burstgpt-000167,1653350,103,16,model-chatgpt,interactive,950,145,,,
burstgpt-000168,1655300,1737,300,model-chatgpt,interactive,950,145,,,
burstgpt-000169,1660050,22,416,model-chatgpt,interactive,950,145,,,
burstgpt-000170,1665350,111,1158,model-chatgpt,interactive,950,145,,,
burstgpt-000171,1665400,100,104,model-chatgpt,interactive,950,145,,,
burstgpt-000172,1665950,1416,586,model-chatgpt,interactive,950,145,,,
burstgpt-000173,1668300,39,1238,model-chatgpt,interactive,950,145,,,
burstgpt-000174,1670100,22,287,model-chatgpt,interactive,950,145,,,
burstgpt-000175,1670300,13,4,model-chatgpt,interactive,950,145,,,
burstgpt-000176,1670400,405,256,model-chatgpt,interactive,950,145,,,
burstgpt-000177,1671600,38,19,model-chatgpt,interactive,950,145,,,
burstgpt-000178,1672450,708,44,model-chatgpt,interactive,950,145,,,
burstgpt-000179,1673800,963,109,model-chatgpt,interactive,950,145,,,
burstgpt-000180,1675200,1276,266,model-chatgpt,interactive,950,145,,,
burstgpt-000181,1675250,1065,524,model-chatgpt,interactive,950,145,,,
burstgpt-000182,1676100,271,54,model-chatgpt,interactive,950,145,,,
burstgpt-000183,1678800,1314,1903,model-chatgpt,interactive,950,145,,,
burstgpt-000184,1679850,337,356,model-chatgpt,interactive,950,145,,,
burstgpt-000185,1681350,123,261,model-chatgpt,interactive,950,145,,,
burstgpt-000186,1681350,387,58,model-chatgpt,interactive,950,145,,,
burstgpt-000187,1681600,102,36,model-chatgpt,interactive,950,145,,,
burstgpt-000188,1684550,854,350,model-chatgpt,interactive,950,145,,,
burstgpt-000189,1687100,522,65,model-chatgpt,interactive,950,145,,,
burstgpt-000190,1688950,916,484,model-chatgpt,interactive,950,145,,,
burstgpt-000191,1690250,603,6,model-chatgpt,interactive,950,145,,,
burstgpt-000192,1692250,628,495,model-chatgpt,interactive,950,145,,,
burstgpt-000193,1693050,31,26,model-chatgpt,interactive,950,145,,,
burstgpt-000194,1700500,16,421,model-chatgpt,interactive,950,145,,,
burstgpt-000195,1700550,1640,664,model-chatgpt,interactive,950,145,,,
burstgpt-000196,1701500,1232,438,model-chatgpt,interactive,950,145,,,
burstgpt-000197,1702250,489,92,model-chatgpt,interactive,950,145,,,
burstgpt-000198,1703150,40,1092,model-chatgpt,interactive,950,145,,,
burstgpt-000199,1703200,461,496,model-chatgpt,interactive,950,145,,,
burstgpt-000200,1703550,362,155,model-chatgpt,interactive,950,145,,,
burstgpt-000201,1704100,149,3,model-chatgpt,interactive,950,145,,,
burstgpt-000202,1704750,1540,35,model-chatgpt,interactive,950,145,,,
burstgpt-000203,1704850,974,513,model-gpt-4,interactive,950,145,,,
burstgpt-000204,1705000,541,201,model-chatgpt,interactive,950,145,,,
burstgpt-000205,1705600,954,51,model-chatgpt,interactive,950,145,,,
burstgpt-000206,1706050,930,92,model-chatgpt,interactive,950,145,,,
burstgpt-000207,1706200,34,15,model-chatgpt,interactive,950,145,,,
burstgpt-000208,1706700,1169,2019,model-chatgpt,interactive,950,145,,,
burstgpt-000209,1707050,1512,368,model-gpt-4,interactive,950,145,,,
burstgpt-000210,1708400,1994,570,model-chatgpt,interactive,950,145,,,
burstgpt-000211,1708400,489,338,model-chatgpt,interactive,950,145,,,
burstgpt-000212,1709400,72,19,model-chatgpt,interactive,950,145,,,
burstgpt-000213,1712050,1692,401,model-chatgpt,interactive,950,145,,,
burstgpt-000214,1712600,849,5,model-chatgpt,interactive,950,145,,,
burstgpt-000215,1713300,490,27,model-chatgpt,interactive,950,145,,,
burstgpt-000216,1713400,205,144,model-chatgpt,interactive,950,145,,,
burstgpt-000217,1713650,1390,260,model-chatgpt,interactive,950,145,,,
burstgpt-000218,1714300,547,302,model-chatgpt,interactive,950,145,,,
burstgpt-000219,1714450,32,262,model-gpt-4,interactive,950,145,,,
burstgpt-000220,1715750,1021,335,model-chatgpt,interactive,950,145,,,
burstgpt-000221,1715900,122,376,model-chatgpt,interactive,950,145,,,
burstgpt-000222,1717100,1844,233,model-chatgpt,interactive,950,145,,,
burstgpt-000223,1717350,98,33,model-chatgpt,interactive,950,145,,,
burstgpt-000224,1718950,436,31,model-chatgpt,interactive,950,145,,,
burstgpt-000225,1720000,30,294,model-chatgpt,interactive,950,145,,,
burstgpt-000226,1720750,55,34,model-chatgpt,interactive,950,145,,,
burstgpt-000227,1721950,16,199,model-chatgpt,interactive,950,145,,,
burstgpt-000228,1726000,704,331,model-chatgpt,interactive,950,145,,,
burstgpt-000229,1726450,71,731,model-chatgpt,interactive,950,145,,,
burstgpt-000230,1726850,47,32,model-chatgpt,interactive,950,145,,,
burstgpt-000231,1727750,1298,630,model-chatgpt,interactive,950,145,,,
burstgpt-000232,1729800,15,115,model-gpt-4,interactive,950,145,,,
burstgpt-000233,1730500,145,314,model-gpt-4,interactive,950,145,,,
burstgpt-000234,1733750,477,297,model-gpt-4,interactive,950,145,,,
burstgpt-000235,1737050,189,253,model-gpt-4,interactive,950,145,,,
burstgpt-000236,1737650,418,95,model-chatgpt,interactive,950,145,,,
burstgpt-000237,1738250,585,26,model-gpt-4,interactive,950,145,,,
burstgpt-000238,1739850,757,211,model-gpt-4,interactive,950,145,,,
burstgpt-000239,1740650,705,299,model-chatgpt,interactive,950,145,,,
burstgpt-000240,1740950,203,200,model-gpt-4,interactive,950,145,,,
burstgpt-000241,1741350,17,114,model-chatgpt,interactive,950,145,,,
burstgpt-000242,1743150,22,29,model-chatgpt,interactive,950,145,,,
burstgpt-000243,1743550,210,416,model-chatgpt,interactive,950,145,,,
burstgpt-000244,1744250,978,197,model-gpt-4,interactive,950,145,,,
burstgpt-000245,1744550,188,181,model-gpt-4,interactive,950,145,,,
burstgpt-000246,1745300,226,362,model-gpt-4,interactive,950,145,,,
burstgpt-000247,1745700,16,18,model-chatgpt,interactive,950,145,,,
burstgpt-000248,1746150,45,14,model-chatgpt,interactive,950,145,,,
burstgpt-000249,1746900,163,19,model-gpt-4,interactive,950,145,,,
burstgpt-000250,1749050,1258,384,model-chatgpt,interactive,950,145,,,
burstgpt-000251,1749150,1956,353,model-chatgpt,interactive,950,145,,,
burstgpt-000252,1749500,389,221,model-gpt-4,interactive,950,145,,,
burstgpt-000253,1750550,1046,395,model-chatgpt,interactive,950,145,,,
burstgpt-000254,1752550,867,30,model-chatgpt,interactive,950,145,,,
burstgpt-000255,1754100,145,618,model-chatgpt,interactive,950,145,,,
burstgpt-000256,1754550,603,339,model-gpt-4,interactive,950,145,,,
burstgpt-000257,1756350,19,380,model-gpt-4,interactive,950,145,,,
burstgpt-000258,1756450,870,80,model-chatgpt,interactive,950,145,,,
burstgpt-000259,1756650,72,13,model-chatgpt,interactive,950,145,,,
burstgpt-000260,1756850,963,90,model-chatgpt,interactive,950,145,,,
burstgpt-000261,1757200,33,82,model-gpt-4,interactive,950,145,,,
burstgpt-000262,1757550,342,231,model-gpt-4,interactive,950,145,,,
burstgpt-000263,1757800,161,22,model-gpt-4,interactive,950,145,,,
burstgpt-000264,1758150,419,385,model-gpt-4,interactive,950,145,,,
burstgpt-000265,1758650,244,149,model-chatgpt,interactive,950,145,,,
burstgpt-000266,1758950,66,36,model-chatgpt,interactive,950,145,,,
burstgpt-000267,1760750,162,14,model-chatgpt,interactive,950,145,,,
burstgpt-000268,1761100,210,17,model-gpt-4,interactive,950,145,,,
burstgpt-000269,1761500,862,214,model-chatgpt,interactive,950,145,,,
burstgpt-000270,1761950,263,17,model-chatgpt,interactive,950,145,,,
burstgpt-000271,1762050,168,35,model-chatgpt,interactive,950,145,,,
burstgpt-000272,1762650,1122,59,model-chatgpt,interactive,950,145,,,
burstgpt-000273,1762750,1036,13,model-chatgpt,interactive,950,145,,,
burstgpt-000274,1763050,353,15,model-chatgpt,interactive,950,145,,,
burstgpt-000275,1764400,354,342,model-chatgpt,interactive,950,145,,,
burstgpt-000276,1765700,302,887,model-chatgpt,interactive,950,145,,,
burstgpt-000277,1768200,723,541,model-chatgpt,interactive,950,145,,,
burstgpt-000278,1768250,1202,157,model-chatgpt,interactive,950,145,,,
burstgpt-000279,1768450,466,60,model-gpt-4,interactive,950,145,,,
burstgpt-000280,1769900,217,241,model-chatgpt,interactive,950,145,,,
burstgpt-000281,1770250,25,57,model-chatgpt,interactive,950,145,,,
burstgpt-000282,1770500,1360,702,model-chatgpt,interactive,950,145,,,
burstgpt-000283,1771050,70,82,model-chatgpt,interactive,950,145,,,
burstgpt-000284,1771200,10,111,model-chatgpt,interactive,950,145,,,
burstgpt-000285,1772400,140,98,model-chatgpt,interactive,950,145,,,
burstgpt-000286,1772700,20,556,model-chatgpt,interactive,950,145,,,
burstgpt-000287,1775750,590,93,model-chatgpt,interactive,950,145,,,
burstgpt-000288,1776800,308,151,model-chatgpt,interactive,950,145,,,
burstgpt-000289,1778550,58,26,model-gpt-4,interactive,950,145,,,
burstgpt-000290,1780300,35,12,model-chatgpt,interactive,950,145,,,
burstgpt-000291,1782100,74,19,model-chatgpt,interactive,950,145,,,
burstgpt-000292,1787050,15,38,model-chatgpt,interactive,950,145,,,
burstgpt-000293,1788550,396,333,model-chatgpt,interactive,950,145,,,
burstgpt-000294,1789150,247,506,model-chatgpt,interactive,950,145,,,
burstgpt-000295,1789550,757,356,model-chatgpt,interactive,950,145,,,
burstgpt-000296,1790550,45,32,model-gpt-4,interactive,950,145,,,
burstgpt-000297,1791600,273,25,model-gpt-4,interactive,950,145,,,
burstgpt-000298,1792800,274,442,model-chatgpt,interactive,950,145,,,
burstgpt-000299,1793550,1130,812,model-chatgpt,interactive,950,145,,,
burstgpt-000300,1794450,820,26,model-gpt-4,interactive,950,145,,,
burstgpt-000301,1794650,788,188,model-gpt-4,interactive,950,145,,,
burstgpt-000302,1795800,18,412,model-chatgpt,interactive,950,145,,,
burstgpt-000303,1797450,179,329,model-chatgpt,interactive,950,145,,,
burstgpt-000304,1798500,19,38,model-chatgpt,interactive,950,145,,,
burstgpt-000305,1800800,23,27,model-chatgpt,interactive,950,145,,,
burstgpt-000306,1801000,1286,16,model-chatgpt,interactive,950,145,,,
burstgpt-000307,1801900,535,297,model-chatgpt,interactive,950,145,,,
burstgpt-000308,1802500,17,7,model-chatgpt,interactive,950,145,,,
burstgpt-000309,1803200,36,24,model-chatgpt,interactive,950,145,,,
burstgpt-000310,1803450,992,15,model-chatgpt,interactive,950,145,,,
burstgpt-000311,1804600,695,16,model-gpt-4,interactive,950,145,,,
burstgpt-000312,1805450,36,238,model-chatgpt,interactive,950,145,,,
burstgpt-000313,1805550,146,299,model-gpt-4,interactive,950,145,,,
burstgpt-000314,1805800,149,256,model-gpt-4,interactive,950,145,,,
burstgpt-000315,1808000,73,273,model-chatgpt,interactive,950,145,,,
burstgpt-000316,1808400,985,74,model-gpt-4,interactive,950,145,,,
burstgpt-000317,1809500,18,457,model-chatgpt,interactive,950,145,,,
burstgpt-000318,1812050,1958,737,model-gpt-4,interactive,950,145,,,
burstgpt-000319,1813850,36,505,model-gpt-4,interactive,950,145,,,
burstgpt-000320,1814050,66,17,model-chatgpt,interactive,950,145,,,
burstgpt-000321,1815150,88,300,model-chatgpt,interactive,950,145,,,
burstgpt-000322,1815200,203,285,model-chatgpt,interactive,950,145,,,
burstgpt-000323,1816900,232,514,model-chatgpt,interactive,950,145,,,
burstgpt-000324,1817350,74,404,model-gpt-4,interactive,950,145,,,
burstgpt-000325,1817850,537,249,model-chatgpt,interactive,950,145,,,
burstgpt-000326,1819000,567,416,model-gpt-4,interactive,950,145,,,
burstgpt-000327,1821500,14,203,model-chatgpt,interactive,950,145,,,
burstgpt-000328,1822100,995,454,model-gpt-4,interactive,950,145,,,
burstgpt-000329,1823300,836,701,model-chatgpt,interactive,950,145,,,
burstgpt-000330,1823700,81,999,model-chatgpt,interactive,950,145,,,
burstgpt-000331,1825550,477,163,model-chatgpt,interactive,950,145,,,
burstgpt-000332,1829300,1098,721,model-chatgpt,interactive,950,145,,,
burstgpt-000333,1830100,29,2,model-gpt-4,interactive,950,145,,,
burstgpt-000334,1830600,24,14,model-chatgpt,interactive,950,145,,,
burstgpt-000335,1831050,1475,485,model-gpt-4,interactive,950,145,,,
burstgpt-000336,1831650,1025,405,model-gpt-4,interactive,950,145,,,
burstgpt-000337,1832050,391,25,model-gpt-4,interactive,950,145,,,
burstgpt-000338,1832100,48,11,model-chatgpt,interactive,950,145,,,
burstgpt-000339,1832750,69,14,model-chatgpt,interactive,950,145,,,
burstgpt-000340,1833000,36,370,model-chatgpt,interactive,950,145,,,
burstgpt-000341,1833400,347,147,model-gpt-4,interactive,950,145,,,
burstgpt-000342,1834750,1847,1362,model-chatgpt,interactive,950,145,,,
burstgpt-000343,1834800,510,599,model-gpt-4,interactive,950,145,,,
burstgpt-000344,1835550,20,606,model-chatgpt,interactive,950,145,,,
burstgpt-000345,1836650,20,171,model-chatgpt,interactive,950,145,,,
burstgpt-000346,1839200,26,23,model-chatgpt,interactive,950,145,,,
burstgpt-000347,1839300,299,20,model-chatgpt,interactive,950,145,,,
burstgpt-000348,1839950,1995,663,model-gpt-4,interactive,950,145,,,
burstgpt-000349,1840000,59,31,model-chatgpt,interactive,950,145,,,
burstgpt-000350,1841550,1365,214,model-chatgpt,interactive,950,145,,,
burstgpt-000351,1842250,1595,354,model-chatgpt,interactive,950,145,,,
burstgpt-000352,1843150,500,238,model-gpt-4,interactive,950,145,,,
burstgpt-000353,1843900,51,1442,model-chatgpt,interactive,950,145,,,
burstgpt-000354,1845500,2126,379,model-gpt-4,interactive,950,145,,,
burstgpt-000355,1845850,33,81,model-chatgpt,interactive,950,145,,,
burstgpt-000356,1848150,79,59,model-chatgpt,interactive,950,145,,,
burstgpt-000357,1849200,145,45,model-gpt-4,interactive,950,145,,,
burstgpt-000358,1849250,118,24,model-chatgpt,interactive,950,145,,,
burstgpt-000359,1849400,222,43,model-chatgpt,interactive,950,145,,,
burstgpt-000360,1849600,21,387,model-chatgpt,interactive,950,145,,,
burstgpt-000361,1849750,752,280,model-gpt-4,interactive,950,145,,,
burstgpt-000362,1850050,158,104,model-chatgpt,interactive,950,145,,,
burstgpt-000363,1850150,170,14,model-chatgpt,interactive,950,145,,,
burstgpt-000364,1852400,290,90,model-chatgpt,interactive,950,145,,,
burstgpt-000365,1853800,601,327,model-chatgpt,interactive,950,145,,,
burstgpt-000366,1855050,29,213,model-gpt-4,interactive,950,145,,,
burstgpt-000367,1855600,112,110,model-gpt-4,interactive,950,145,,,
burstgpt-000368,1856750,50,962,model-chatgpt,interactive,950,145,,,
burstgpt-000369,1857150,733,311,model-chatgpt,interactive,950,145,,,
burstgpt-000370,1858650,9,9,model-chatgpt,interactive,950,145,,,
burstgpt-000371,1858850,40,11,model-chatgpt,interactive,950,145,,,
burstgpt-000372,1858900,41,552,model-gpt-4,interactive,950,145,,,
burstgpt-000373,1859200,1544,1421,model-chatgpt,interactive,950,145,,,
burstgpt-000374,1859650,28,231,model-gpt-4,interactive,950,145,,,
burstgpt-000375,1859800,24,443,model-chatgpt,interactive,950,145,,,
burstgpt-000376,1860650,657,1011,model-chatgpt,interactive,950,145,,,
burstgpt-000377,1861150,60,46,model-chatgpt,interactive,950,145,,,
burstgpt-000378,1861500,275,225,model-gpt-4,interactive,950,145,,,
burstgpt-000379,1862500,50,1143,model-chatgpt,interactive,950,145,,,
burstgpt-000380,1863350,251,23,model-gpt-4,interactive,950,145,,,
burstgpt-000381,1863450,18,70,model-gpt-4,interactive,950,145,,,
burstgpt-000382,1863450,67,58,model-chatgpt,interactive,950,145,,,
burstgpt-000383,1863600,281,239,model-gpt-4,interactive,950,145,,,
